,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
61,2016-0084,1,2016-06-29,2016,6,29,22:00:00,22.0,calle,1,-58.38110563,-34.60135531,peaton-pasajeros,peaton,pasajeros
62,2016-0085,1,2016-06-29,2016,6,29,22:00:00,22.0,avenida,4,-58.42378834,-34.65734100,moto-movil,moto,otro
63,2016-0086,1,2016-06-30,2016,6,30,16:10:00,16.0,avenida,10,-58.48727942,-34.63652467,peaton-pasajeros,peaton,pasajeros
64,2016-0087,1,2016-07-02,2016,7,3,00:10:00,0.0,autopista,1,-58.37864583,-34.62907067,moto-objeto fijo,moto,objeto fijo
65,2016-0088,1,2016-07-11,2016,7,11,15:30:00,15.0,calle,12,-58.50151750,-34.56767549,peaton-auto,peaton,auto
66,2016-0089,1,2016-07-14,2016,7,14,06:40:00,6.0,autopista,13,-58.43233425,-34.55185825,peaton-auto,peaton,auto
67,2016-0090,1,2016-07-14,2016,7,14,22:00:00,22.0,avenida,5,-58.41971993,-34.61112240,peaton-pasajeros,peaton,pasajeros
68,2016-0092,1,2016-07-15,2016,7,15,11:00:00,11.0,gral paz,13,-58.46743471,-34.53476874,moto-cargas,moto,cargas
69,2016-0093,1,2016-07-17,2016,7,17,03:30:00,3.0,avenida,6,-58.44362126,-34.62301748,auto-auto,auto,auto
70,2016-0095,1,2016-07-23,2016,7,23,06:12:00,6.0,avenida,11,-58.51713095,-34.59546519,moto-auto,moto,auto
71,2016-0096,1,2016-07-25,2016,7,25,07:00:00,7.0,autopista,8,-58.47433193007387,-34.66684950051973,moto-cargas,moto,cargas
72,2016-0097,1,2016-07-26,2016,7,26,18:45:00,18.0,calle,1,-58.39038605,-34.61562810,peaton-auto,peaton,auto
73,2016-0098,1,2016-07-27,2016,7,27,16:08:00,16.0,avenida,3,-58.40042405,-34.62356174,moto-cargas,moto,cargas
74,2016-0099,1,2016-07-29,2016,7,29,16:00:00,16.0,gral paz,11,-58.52340614,-34.59798754,cargas-cargas,cargas,cargas
75,2016-0100,1,2016-08-03,2016,8,3,23:27:00,23.0,gral paz,12,-58.49491054,-34.54795581,moto-objeto fijo,moto,objeto fijo
76,2016-0101,1,2016-08-07,2016,8,7,19:42:00,19.0,gral paz,9,-58.52932872,-34.65014993,,,
77,2016-0102,1,2016-08-10,2016,8,10,23:37:00,23.0,avenida,9,-58.50011639,-34.67316502,moto-cargas,moto,cargas
78,2016-0104,1,2016-08-14,2016,8,14,21:15:00,21.0,avenida,9,-58.46635001,-34.65624369,moto-pasajeros,moto,pasajeros
79,2016-0105,1,2016-08-17,2016,8,17,00:05:00,0.0,avenida,15,-58.45343236,-34.58435809,peaton-pasajeros,peaton,pasajeros
80,2016-0106,1,2016-08-19,2016,8,19,21:02:00,21.0,avenida,1,-58.38090932,-34.58927731,peaton-pasajeros,peaton,pasajeros
81,2016-0107,1,2016-08-20,2016,8,20,08:22:00,8.0,autopista,4,-58.37157668,-34.65429986,moto-auto,moto,auto
82,2016-0109,1,2016-08-24,2016,8,24,05:45:00,5.0,autopista,9,-58.52280139,-34.63659934,auto-objeto fijo,auto,objeto fijo
83,2016-0110,1,2016-08-24,2016,8,24,20:21:00,20.0,avenida,9,-58.51232237,-34.65903530,peaton-sd,peaton,
84,2016-0111,1,2016-08-25,2016,8,25,09:30:00,9.0,autopista,15,-58.47461905,-34.57663634,moto-cargas,moto,cargas
85,2016-0112,1,2016-08-27,2016,8,27,04:40:00,4.0,autopista,1,-58.38268809,-34.62282019,moto-objeto fijo,moto,objeto fijo
86,2016-0113,1,2016-08-27,2016,8,27,16:45:00,16.0,avenida,9,-58.49603546,-34.64564271,peaton-pasajeros,peaton,pasajeros
87,2016-0114,1,2016-08-31,2016,8,31,11:20:00,11.0,calle,14,-58.41848605,-34.59394733,bicicleta-cargas,bicicleta,cargas
88,2016-0115,1,2016-09-02,2016,9,2,11:50:00,11.0,calle,12,-58.48935041,-34.54917673,sd-cargas,,cargas
89,2016-0116,1,2016-09-02,2016,9,2,20:20:00,20.0,avenida,8,-58.44451316,-34.68475866,moto-auto,moto,auto
90,2016-0117,1,2016-09-03,2016,9,3,15:30:00,15.0,avenida,14,-58.39936478,-34.58271474,auto-auto,auto,auto
